name,event,spoken_statement,timestamp
Person_001,ENTER (Auto-Enrolled),,2026-05-25 14:25:47
Person_001,EXIT,,2026-05-25 14:25:54
Person_001,ENTER,,2026-05-25 14:25:56
Person_001,EXIT,,2026-05-25 14:26:03
Person_001,ENTER,,2026-05-25 14:26:10
Person_001,ENTER,,2026-05-25 14:26:11
Person_001,EXIT,,2026-05-25 14:26:16
Person_001,EXIT,,2026-05-25 14:26:18
Person_001,ENTER,,2026-05-25 14:29:00
Person_001,ENTER,,2026-05-25 14:29:27
Person_001,EXIT,,2026-05-25 14:29:28
Person_001,ENTER,,2026-05-25 14:32:24
Person_001,EXIT,,2026-05-25 14:32:31
Person_001,ENTER,,2026-05-25 14:34:13
Person_001,EXIT,,2026-05-25 14:34:20
Person_001,ENTER,,2026-05-25 15:40:11
Person_001,EXIT,,2026-05-25 15:40:15
Person_001,ENTER,,2026-05-25 15:40:18
Person_001,SPOKE,Dogs are sitting...,2026-05-25 15:40:21
Person_001,EXIT,,2026-05-25 15:40:24
Person_001,ENTER,,2026-05-25 15:40:28
Person_001,EXIT,,2026-05-25 15:40:34
Person_001,ENTER,,2026-05-25 15:40:41
Person_001,SPOKE,Dogs are sitting...,2026-05-25 15:40:44
Person_001,EXIT,,2026-05-25 15:40:52
Person_001,ENTER,,,2026-05-25 16:34:30
Person_001,SPOKE,Dogs are sitting,,2026-05-25 16:34:39
Person_001,SPOKE,Dogs are sitting,,2026-05-25 16:34:42
Person_001,ENTER,,,2026-05-25 16:34:55
Person_001,ENTER,,,2026-05-25 16:41:06
Person_001,SPOKE,Dogs are sitting,,2026-05-25 16:41:13
Person_001,EXIT,,,2026-05-25 16:41:19
Person_001,ENTER,,,2026-05-25 16:41:21
Person_001,ENTER,,,2026-05-25 16:43:22
Person_001,ENTER,,,2026-05-25 16:43:26
Person_001,EXIT,,,2026-05-25 16:43:43
Person_001,ENTER,,,2026-05-25 16:43:43
Person_001,SPOKE,Dogs are sitting,,2026-05-25 16:43:48
Person_001,EXIT,,,2026-05-25 16:43:52
Person_001,ENTER,,,2026-05-25 16:43:59
Person_001,SPOKE,Dogs are sitting,,2026-05-25 16:44:02
Person_001,EXIT,,,2026-05-25 16:44:31
Person_001,ENTER,,,2026-05-25 16:44:33
Person_001,EXIT,,,2026-05-25 16:44:38
Person_001,ENTER,,,2026-05-25 16:44:43
Person_001,EXIT,,,2026-05-25 16:44:47
Person_001,ENTER,,,2026-05-25 16:48:40
Person_001,ENTER,,,2026-05-25 16:48:41
Person_001,EXIT,,,2026-05-25 16:48:43
Person_001,EXIT,,,2026-05-25 16:48:46
Person_001,ENTER,,,2026-05-25 16:48:48
Person_001,EXIT,,,2026-05-25 16:48:52
Person_001,ENTER,,,2026-05-25 16:48:56
Person_001,EXIT,,,2026-05-25 16:49:10
Person_001,ENTER,,,2026-05-25 16:49:12
Person_001,ENTER,,,2026-05-25 16:49:29
Person_001,EXIT,,,2026-05-25 16:49:31
Person_001,EXIT,,,2026-05-25 16:49:35
Person_001,ENTER,,,2026-05-25 16:49:35
Person_001,ENTER,,,2026-05-25 16:50:50
Person_001,SPOKE,Dogs are sitting,,2026-05-25 16:50:58
Person_001,EXIT,,,2026-05-25 16:51:02
Person_001,ENTER,,,2026-05-25 16:52:01
Person_001,EXIT,,,2026-05-25 16:52:04
Person_001,ENTER,,,2026-05-25 16:52:17
Person_001,ENTER,,,2026-05-25 16:57:51
Person_001,EXIT,,,2026-05-25 16:58:04
Person_001,ENTER,,,2026-05-25 16:58:06
Person_001,ENTER,,,2026-05-25 16:58:21
Person_001,EXIT,,,2026-05-25 16:58:25
Person_001,ENTER,,,2026-05-25 16:58:30
Person_001,EXIT,,,2026-05-25 16:58:36
Person_001,ENTER,,,2026-05-25 16:58:43
Person_001,EXIT,,,2026-05-25 16:59:01
Person_001,ENTER,,,2026-05-25 16:59:39
Person_001,EXIT,,,2026-05-25 16:59:53
Person_001,ENTER,,,2026-05-25 17:00:16
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:00:45
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:00:49
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:01:20
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:01:23
Person_001,EXIT,,,2026-05-25 17:01:36
Person_001,ENTER,,,2026-05-25 17:01:52
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:01:54
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:01:58
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:02:12
Person_001,EXIT,,,2026-05-25 17:02:16
Person_001,ENTER,,,2026-05-25 17:02:19
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:02:21
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:02:25
Person_001,EXIT,,,2026-05-25 17:02:30
Person_001,ENTER,,,2026-05-25 17:03:02
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:03:04
Person_001,EXIT,,,2026-05-25 17:03:08
Person_001,ENTER,,,2026-05-25 17:03:25
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:03:47
Person_001,EXIT,,,2026-05-25 17:03:57
Person_001,ENTER,,,2026-05-25 17:04:15
Person_001,EXIT,,,2026-05-25 17:04:19
Person_001,ENTER,,,2026-05-25 17:20:46
Person_001,ENTER,,,2026-05-25 17:20:54
Person_001,EXIT,,,2026-05-25 17:21:01
Person_001,ENTER,,,2026-05-25 17:21:17
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:21:31
Person_001,SPOKE,Kids are talking,,2026-05-25 17:21:43
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:21:46
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:21:50
Person_001,SPOKE,Kids are talking,,2026-05-25 17:21:53
Person_001,EXIT,,,2026-05-25 17:21:57
Person_001,ENTER,,,2026-05-25 17:22:03
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:22:05
